DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145397,142036,87616,127032,161320,2022-05-01
Waitemata,507625,502947,329952,454565,526087,2022-05-01
Auckland,420538,416680,284287,381234,423958,2022-05-01
Counties Manukau,464456,458556,275481,405972,482773,2022-05-01
Waikato,339644,334358,203433,298524,357176,2022-05-01
Lakes,87961,86285,51746,76447,94419,2022-05-01
Bay of Plenty,206349,202713,122303,182095,216941,2022-05-01
Tairawhiti,39085,38169,22509,33402,41965,2022-05-01
Taranaki,96663,95271,58917,84873,102147,2022-05-01
Hawkes Bay,141534,139193,88322,123967,145571,2022-05-01
MidCentral,146793,144920,95428,129631,152302,2022-05-01
Whanganui,52628,51767,33901,46506,57247,2022-05-01
Capital and Coast,266988,265237,195517,241437,271174,2022-05-01
Hutt Valley,125855,124592,85748,112113,130239,2022-05-01
Wairarapa,39952,39360,26400,35460,41427,2022-05-01
Nelson Marlborough,130901,129289,87774,117363,135743,2022-05-01
West Coast,25867,25477,16750,23052,27906,2022-05-01
Canterbury,481638,477423,327780,432630,482890,2022-05-01
South Canterbury,49823,49296,33853,44651,52584,2022-05-01
Southern,283691,280665,190051,254405,288015,2022-05-01
Overseas / Unknown,2899,2801,1434,2613,17173,2022-05-01
New Zealand,4056287,4007035,2619202,3607972,4209057,2022-05-01
