DHB,Dose1,Dose2,Population,Date
Northland,35281,26014,50488,2021-11-06
Waitemata,33561,27157,41113,2021-11-06
Auckland,23427,19290,27792,2021-11-06
Counties Manukau,48174,36777,63493,2021-11-06
Waikato,52501,39077,69707,2021-11-06
Lakes,20424,15079,30085,2021-11-06
Bay of Plenty,31668,23507,47734,2021-11-06
Tairawhiti,14056,10636,19839,2021-11-06
Taranaki,11327,8098,15904,2021-11-06
Hawkes Bay,23724,17675,34059,2021-11-06
MidCentral,17931,13507,24225,2021-11-06
Whanganui,9127,7113,13512,2021-11-06
Capital and Coast,21957,17854,26967,2021-11-06
Hutt Valley,14389,11327,19123,2021-11-06
Wairarapa,4609,3396,6302,2021-11-06
Nelson Marlborough,8162,6346,11248,2021-11-06
West Coast,2074,1580,2765,2021-11-06
Canterbury,29485,21881,36969,2021-11-06
South Canterbury,2543,1950,3428,2021-11-06
Southern,18579,14631,23646,2021-11-06
Overseas / Unknown,190,140,2653,2021-11-06
Total,423189,323035,571052,2021-11-06
