Ethnicity,Age,Sex,PopulationPR
Asian,0,Female,31375
Asian,0,Male,32805
Asian,5,Female,28991
Asian,5,Male,29849
Asian,10,Female,23936
Asian,10,Male,25176
Asian,15,Female,23460
Asian,15,Male,24699
Asian,20,Female,30230
Asian,20,Male,35189
Asian,25,Female,39385
Asian,25,Male,45584
Asian,30,Female,48064
Asian,30,Male,46824
Asian,35,Female,44249
Asian,35,Male,42151
Asian,40,Female,31947
Asian,40,Male,31279
Asian,45,Female,25558
Asian,45,Male,22983
Asian,50,Female,22411
Asian,50,Male,18596
Asian,55,Female,20313
Asian,55,Male,16593
Asian,60,Female,17547
Asian,60,Male,13542
Asian,65,Female,14305
Asian,65,Male,11634
Asian,70,Female,8869
Asian,70,Male,8106
Asian,75,Female,5150
Asian,75,Male,4482
Asian,80,Female,3433
Asian,80,Male,3052
Asian,85,Female,1717
Asian,85,Male,1430
Asian,90,Female,763
Asian,90,Male,572
European,0,Female,68793
European,0,Male,72724
European,5,Female,77644
European,5,Male,81867
European,10,Female,84883
European,10,Male,89607
European,15,Female,78106
European,15,Male,81663
European,20,Female,80446
European,20,Male,84563
European,25,Female,92538
European,25,Male,94103
European,30,Female,94346
European,30,Male,93197
European,35,Female,85367
European,35,Male,82199
European,40,Female,86372
European,40,Male,82058
European,45,Female,102753
European,45,Male,97620
European,50,Female,110918
European,50,Male,106240
European,55,Female,110674
European,55,Male,106197
European,60,Female,108802
European,60,Male,104542
European,65,Female,93143
European,65,Male,88947
European,70,Female,83898
European,70,Male,79450
European,75,Female,61887
European,75,Male,56179
European,80,Female,46927
European,80,Male,38369
European,85,Female,29234
European,85,Male,20811
European,90,Female,22482
European,90,Male,11721
Maori,0,Female,41300
Maori,0,Male,43400
Maori,5,Female,42600
Maori,5,Male,45200
Maori,10,Female,44400
Maori,10,Male,47500
Maori,15,Female,39000
Maori,15,Male,41100
Maori,20,Female,36300
Maori,20,Male,38000
Maori,25,Female,34100
Maori,25,Male,34700
Maori,30,Female,32000
Maori,30,Male,30600
Maori,35,Female,25400
Maori,35,Male,23500
Maori,40,Female,23800
Maori,40,Male,22200
Maori,45,Female,24400
Maori,45,Male,22900
Maori,50,Female,23800
Maori,50,Male,22300
Maori,55,Female,22000
Maori,55,Male,20200
Maori,60,Female,18200
Maori,60,Male,16400
Maori,65,Female,12900
Maori,65,Male,11400
Maori,70,Female,8900
Maori,70,Male,7800
Maori,75,Female,5100
Maori,75,Male,4300
Maori,80,Female,3200
Maori,80,Male,2400
Maori,85,Female,1500
Maori,85,Male,900
Maori,90,Female,700
Maori,90,Male,300
Pacific,0,Female,16394
Pacific,0,Male,17276
Pacific,5,Female,16683
Pacific,5,Male,17938
Pacific,10,Female,17187
Pacific,10,Male,18298
Pacific,15,Female,14931
Pacific,15,Male,15800
Pacific,20,Female,16250
Pacific,20,Male,16648
Pacific,25,Female,15485
Pacific,25,Male,15485
Pacific,30,Female,13411
Pacific,30,Male,13411
Pacific,35,Female,10462
Pacific,35,Male,10462
Pacific,40,Female,10708
Pacific,40,Male,10802
Pacific,45,Female,10238
Pacific,45,Male,10430
Pacific,50,Female,9850
Pacific,50,Male,9850
Pacific,55,Female,8661
Pacific,55,Male,8285
Pacific,60,Female,6719
Pacific,60,Male,6427
Pacific,65,Female,4964
Pacific,65,Male,4867
Pacific,70,Female,3620
Pacific,70,Male,3229
Pacific,75,Female,2263
Pacific,75,Male,1792
Pacific,80,Female,1296
Pacific,80,Male,950
Pacific,85,Female,605
Pacific,85,Male,346
Pacific,90,Female,345
Pacific,90,Male,86
MELAA,0,Female,4200
MELAA,0,Male,4300
MELAA,5,Female,3700
MELAA,5,Male,3800
MELAA,10,Female,3100
MELAA,10,Male,3300
MELAA,15,Female,2600
MELAA,15,Male,2800
MELAA,20,Female,3000
MELAA,20,Male,3300
MELAA,25,Female,4300
MELAA,25,Male,4200
MELAA,30,Female,5900
MELAA,30,Male,5800
MELAA,35,Female,5300
MELAA,35,Male,5100
MELAA,40,Female,3800
MELAA,40,Male,3900
MELAA,45,Female,2600
MELAA,45,Male,2800
MELAA,50,Female,2000
MELAA,50,Male,2200
MELAA,55,Female,1600
MELAA,55,Male,1700
MELAA,60,Female,1200
MELAA,60,Male,1300
MELAA,65,Female,800
MELAA,65,Male,900
MELAA,70,Female,500
MELAA,70,Male,600
MELAA,75,Female,300
MELAA,75,Male,300
MELAA,80,Female,200
MELAA,80,Male,200
MELAA,85,Female,100
MELAA,85,Male,100
MELAA,90,Female,100
MELAA,90,Male,0
